Author,Age,TL,FL,WT,N.eggs
MWFP 1977,,538.48,,1360.8,2875
MWFP 1977,,566.42,,1769.04,3665
MWFP 1977,,584.2,,1814.4,3330
MWFP 1977,,589.28,,2177.28,4375
MWFP 1977,,596.9,,2585.52,6214
MWFP 1977,,596.9,,2721.6,3330
MWFP 1977,,601.98,,2268,4000
MWFP 1977,,607.06,,2268,3625
MWFP 1977,,609.6,,,4355
MWFP 1977,,614.68,,2721.6,5210
MWFP 1977,,622.3,,2222.64,5000
MWFP 1977,,637.54,,2494.8,4780
MWFP 1977,,640.08,,2721.6,4915
MWFP 1977,,642.62,,2812.32,5750
MWFP 1977,,652.78,,2948.4,3725
MWFP 1977,,665.48,,3175.2,6445
MWFP 1977,,668.02,,3311.28,5500
MWFP 1977,,668.02,,3175.2,4750
MWFP 1977,,670.56,,3175.2,5250
MWFP 1977,,708.66,,4082.4,11500
MWFP 1977,,711.2,,3402,7000
MWFP 1977,,713.74,,3628.8,6000
MWFP 1977,,716.28,,3402,5250
MWFP 1977,,718.82,,,10429
MWFP 1977,,718.82,,3855.6,7140
MWFP 1977,,723.9,,4762.8,5450
MWFP 1977,,736.6,,3628.8,8500
MWFP 1977,,746.76,,4762.8,9750
MWFP 1977,,754.38,,4082.4,8165
MWFP 1977,,754.38,,4309.2,7938
MWFP 1977,,805.18,,5443.2,9625
